1.2275,0.674341
2.70049,0.665521	
3.92799,0.658305	
5.15548,0.65189	        
6.62848,0.644674	
8.10147,0.637457	
9.57447,0.631844	
11.293,0.623024	
13.257,0.615006
15.2209,0.607789	
16.9394,0.599771	
18.6579,0.594158	
20.8674,0.584536	
23.8134,0.576518	
26.0229,0.568499
27.9869,0.562085
30.1964,0.55567	
32.4059,0.549255
34.8609,0.542039
37.5614,0.534822
39.5254,0.530813
43.4534,0.521191
46.6448,0.514777
51.3093,0.505155
54.9918,0.496334
58.1833,0.491523
61.3748,0.485911
64.5663,0.480298
67.7578,0.475487
71.6858,0.467468
75.1227,0.463459
77.8232,0.458648
81.2602,0.453837
87.6432,0.445017
91.8167,0.441008
94.7627,0.436197
99.6727,0.429782
105.319,0.423368
111.948,0.416953
124.468,0.404124
130.851,0.398511
142.881,0.388889
152.455,0.380871
159.083,0.376861
168.167,0.369645
175.286,0.365636
183.388,0.360023
191.735,0.355212
198.854,0.350401
208.429,0.34559	
214.321,0.342383
221.195,0.338373
229.542,0.334364
236.661,0.331157
242.062,0.328751
254.092,0.32394 
258.265,0.320733
264.403,0.319129
269.804,0.316724
275.45,0.313517
283.552,0.311111
287.971,0.310309
293.863,0.307102
301.964,0.303895
308.101,0.302291
314.73,0.299885
318.167,0.299084
322.34,0.29748	
325.286,0.298282
